date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2024-05-17,TCS.NS,SELL,3869.0,3918.8,3819.2,49.8,3832.6,TIME,25.8465,940.81,95.4,845.41,True
2024-05-21,NIFTY,BUY,22508.85,22440.9,22576.8,67.95,22576.8,TARGET,4.4427,301.88,95.67,206.22,True
2024-05-22,HDFCBANK.NS,BUY,729.75,727.1,732.4,2.65,727.1,STOP,137.0332,-363.14,95.47,-458.61,False
2024-05-22,ICICIBANK.NS,SELL,1112.2,1124.35,1100.05,12.15,1100.05,TARGET,89.9119,1092.43,95.37,997.06,True
2024-05-22,INFY.NS,BUY,1450.0,1433.7,1466.3,16.3,1455.05,TIME,68.9655,348.28,95.68,252.6,True
2024-05-23,HDFCBANK.NS,BUY,731.95,728.8,735.1,3.15,735.1,TARGET,136.6214,430.36,95.7,334.65,True
2024-05-23,ICICIBANK.NS,BUY,1125.0,1111.5,1138.5,13.5,1135.85,TIME,88.8889,964.44,95.86,868.58,True
2024-05-23,INFY.NS,BUY,1465.1,1451.5,1478.7,13.6,1472.85,TIME,68.2547,528.97,95.73,433.24,True
2024-05-23,NIFTY,BUY,22688.85,22577.45,22800.25,111.4,22800.25,TARGET,4.4075,490.99,95.72,395.27,True
2024-05-23,RELIANCE.NS,BUY,1471.15,1457.97,1484.33,13.18,1484.33,TARGET,67.974,895.9,95.84,800.06,True
2024-05-23,TCS.NS,BUY,3859.0,3827.9,3890.1,31.1,3890.1,TARGET,25.9134,805.91,95.81,710.1,True
2024-05-24,HDFCBANK.NS,BUY,751.45,743.7,759.2,7.75,759.2,TARGET,133.0761,1031.34,95.88,935.46,True
2024-05-24,INFY.NS,SELL,1466.0,1475.5,1456.5,9.5,1466.1,TIME,68.2128,-6.82,95.58,-102.4,False
2024-05-27,HDFCBANK.NS,BUY,767.75,761.03,774.47,6.72,761.03,STOP,130.2507,-875.28,95.32,-970.61,False
2024-05-27,ICICIBANK.NS,BUY,1136.5,1129.8,1143.2,6.7,1143.2,TARGET,87.9894,589.53,95.75,493.78,True
2024-05-28,INFY.NS,SELL,1466.6,1475.45,1457.75,8.85,1475.45,STOP,68.1849,-603.44,95.69,-699.13,False
2024-05-28,NIFTY,SELL,22926.4,22992.3,22860.5,65.9,22992.3,STOP,4.3618,-287.44,95.63,-383.07,False
2024-05-29,HDFCBANK.NS,SELL,755.6,761.85,749.35,6.25,754.88,TIME,132.3452,95.95,95.56,0.39,True
2024-05-29,ICICIBANK.NS,SELL,1111.9,1123.5,1100.3,11.6,1100.3,TARGET,89.9361,1043.26,95.38,947.88,True
2024-05-29,INFY.NS,SELL,1458.2,1465.5,1450.9,7.3,1450.9,TARGET,68.5777,500.62,95.48,405.14,True
2024-05-29,NIFTY,SELL,22752.75,22825.5,22680.0,72.75,22711.3,TIME,4.3951,182.17,95.54,86.63,True
2024-05-29,TCS.NS,SELL,3820.8,3846.8,3794.8,26.0,3803.1,TIME,26.1725,463.25,95.49,367.76,True
2024-05-30,HDFCBANK.NS,BUY,757.58,749.75,765.4,7.83,756.92,TIME,131.9993,-86.46,95.55,-182.01,False
2024-05-30,INFY.NS,SELL,1435.0,1449.85,1420.15,14.85,1427.45,TIME,69.6864,526.14,95.48,430.66,True
2024-05-30,NIFTY,SELL,22554.55,22704.85,22404.25,150.3,22478.05,TIME,4.4337,339.17,95.51,243.66,True
2024-05-30,RELIANCE.NS,SELL,1425.68,1440.0,1411.35,14.32,1422.18,TIME,70.142,245.84,95.53,150.31,True
2024-05-30,TCS.NS,SELL,3760.4,3794.4,3726.4,34.0,3726.4,TARGET,26.5929,904.16,95.4,808.75,True
2024-05-31,TCS.NS,SELL,3698.6,3748.0,3649.2,49.4,3672.1,TIME,27.0373,716.48,95.44,621.04,True
2024-06-03,RELIANCE.NS,BUY,1478.5,1459.03,1497.97,19.47,1497.97,TARGET,67.6361,1316.88,95.96,1220.91,True
2024-06-04,HDFCBANK.NS,SELL,752.88,774.55,731.2,21.67,731.2,TARGET,132.8233,2879.61,95.03,2784.58,True
2024-06-04,ICICIBANK.NS,SELL,1123.1,1159.1,1087.1,36.0,1087.1,TARGET,89.0393,3205.41,94.96,3110.45,True
2024-06-04,NIFTY,SELL,22391.1,23159.45,21622.75,768.35,21622.75,TARGET,4.4661,3431.5,94.92,3336.58,True
2024-06-05,HDFCBANK.NS,BUY,755.9,742.5,769.3,13.4,742.5,STOP,132.2926,-1772.72,95.06,-1867.78,False
2024-06-05,INFY.NS,BUY,1417.85,1401.85,1433.85,16.0,1433.85,TARGET,70.5293,1128.47,95.91,1032.56,True
2024-06-05,TCS.NS,BUY,3759.95,3700.15,3819.75,59.8,3743.45,TIME,26.5961,-438.84,95.45,-534.29,False
2024-06-06,NIFTY,BUY,22797.35,22644.2,22950.5,153.15,22825.15,TIME,4.3865,121.95,95.61,26.33,True
2024-06-07,HDFCBANK.NS,BUY,783.47,776.08,790.87,7.4,790.87,TARGET,127.6373,944.52,95.85,848.66,True
2024-06-07,ICICIBANK.NS,BUY,1117.5,1103.9,1131.1,13.6,1120.0,TIME,89.4855,223.71,95.64,128.07,True
2024-06-07,INFY.NS,BUY,1523.1,1479.3,1566.9,43.8,1531.2,TIME,65.6556,531.81,95.73,436.07,True
2024-06-07,NIFTY,BUY,23003.75,22790.75,23216.75,213.0,23216.75,TARGET,4.3471,925.94,95.85,830.09,True
2024-06-07,RELIANCE.NS,BUY,1443.5,1427.03,1459.97,16.47,1459.97,TARGET,69.2761,1140.98,95.91,1045.07,True
2024-06-11,HDFCBANK.NS,BUY,781.9,776.1,787.7,5.8,783.7,TIME,127.8936,230.21,95.65,134.56,True
2024-06-12,INFY.NS,SELL,1498.25,1508.75,1487.75,10.5,1487.75,TARGET,66.7445,700.82,95.44,605.37,True
2024-06-12,RELIANCE.NS,BUY,1469.47,1455.4,1483.55,14.07,1462.57,TIME,68.0517,-469.22,95.44,-564.66,False
2024-06-12,TCS.NS,SELL,3863.0,3893.35,3832.65,30.35,3832.65,TARGET,25.8866,785.66,95.43,690.23,True
2024-06-14,HDFCBANK.NS,BUY,794.95,789.53,800.38,5.42,799.0,TIME,125.7941,509.47,95.73,413.74,True
2024-06-14,RELIANCE.NS,BUY,1468.0,1457.22,1478.78,10.78,1478.78,TARGET,68.1199,734.33,95.79,638.54,True
2024-06-19,HDFCBANK.NS,BUY,814.97,802.9,827.05,12.07,827.05,TARGET,122.7039,1482.26,96.01,1386.25,True
2024-06-19,RELIANCE.NS,SELL,1472.72,1485.4,1460.05,12.68,1460.05,TARGET,67.9016,860.31,95.41,764.9,True
2024-06-20,RELIANCE.NS,BUY,1472.2,1450.55,1493.85,21.65,1473.3,TIME,67.9256,74.72,95.6,-20.88,False
2024-06-21,ICICIBANK.NS,SELL,1157.0,1165.2,1148.8,8.2,1165.2,STOP,86.4304,-708.73,95.71,-804.44,False
2024-06-21,INFY.NS,SELL,1537.45,1557.5,1517.4,20.05,1532.4,TIME,65.0428,328.46,95.51,232.95,True
2024-06-21,NIFTY,SELL,23568.2,23664.95,23471.45,96.75,23471.45,TARGET,4.243,410.51,95.5,315.01,True
2024-06-21,RELIANCE.NS,SELL,1460.0,1473.7,1446.3,13.7,1446.3,TARGET,68.4932,938.36,95.4,842.96,True
2024-06-24,HDFCBANK.NS,BUY,827.47,823.5,831.45,3.97,831.45,TARGET,120.8503,480.98,95.72,385.27,True
2024-06-24,NIFTY,BUY,23452.85,23350.0,23555.7,102.85,23555.7,TARGET,4.2639,438.54,95.71,342.83,True
2024-06-25,HDFCBANK.NS,BUY,846.03,838.12,853.93,7.9,853.93,TARGET,118.1991,933.77,95.85,837.92,True
2024-06-25,ICICIBANK.NS,BUY,1177.0,1167.75,1186.25,9.25,1186.25,TARGET,84.9618,785.9,95.81,690.09,True
2024-06-25,NIFTY,BUY,23617.55,23565.85,23669.25,51.7,23565.85,STOP,4.2341,-218.91,95.51,-314.42,False
2024-06-25,RELIANCE.NS,BUY,1449.28,1441.53,1457.03,7.75,1454.7,TIME,68.9998,373.98,95.69,278.29,True
2024-06-26,RELIANCE.NS,BUY,1469.53,1447.28,1491.78,22.25,1491.78,TARGET,68.049,1514.09,96.02,1418.07,True
2024-06-27,ICICIBANK.NS,BUY,1227.35,1212.2,1242.5,15.15,1220.3,TIME,81.4764,-574.4,95.41,-669.81,False
2024-06-27,INFY.NS,BUY,1546.9,1532.25,1561.55,14.65,1561.55,TARGET,64.6454,947.06,95.85,851.2,True
