date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2025-12-26,HDFCBANK.NS,SELL,993.6,997.2,990.0,3.6,990.0,TARGET,100.6441,362.32,95.51,266.81,True
2025-12-29,ICICIBANK.NS,SELL,1348.1,1354.9,1341.3,6.8,1342.9,TIME,74.1785,385.73,95.5,290.22,True
2025-12-29,NIFTY,SELL,26027.05,26102.75,25951.35,75.7,25951.35,TARGET,3.8422,290.85,95.52,195.33,True
2025-12-31,NIFTY,BUY,26026.85,25969.35,26084.35,57.5,26084.35,TARGET,3.8422,220.93,95.64,125.28,True
2025-12-31,RELIANCE.NS,BUY,1549.6,1544.7,1554.5,4.9,1554.5,TARGET,64.5328,316.21,95.67,220.54,True
2026-01-01,INFY.NS,BUY,1624.6,1615.2,1634.0,9.4,1634.0,TARGET,61.5536,578.6,95.75,482.86,True
2026-01-06,TCS.NS,BUY,3248.0,3206.3,3289.7,41.7,3255.4,TIME,30.7882,227.83,95.64,132.19,True
2026-01-08,NIFTY,SELL,26048.45,26132.9,25964.0,84.45,25964.0,TARGET,3.839,324.2,95.52,228.69,True
2026-01-12,ICICIBANK.NS,BUY,1405.0,1391.9,1418.1,13.1,1418.1,TARGET,71.1744,932.38,95.85,836.53,True
2026-01-20,INFY.NS,SELL,1669.2,1679.7,1658.7,10.5,1658.7,TARGET,59.9089,629.04,95.46,533.59,True
2026-01-20,NIFTY,SELL,25432.75,25582.85,25282.65,150.1,25282.65,TARGET,3.9319,590.18,95.46,494.72,True
2026-01-21,RELIANCE.NS,BUY,1398.2,1385.3,1411.1,12.9,1385.3,STOP,71.5205,-922.61,95.31,-1017.92,False
2026-01-22,HDFCBANK.NS,SELL,922.1,927.8,916.4,5.7,916.4,TARGET,108.4481,618.15,95.46,522.69,True
2026-01-22,ICICIBANK.NS,SELL,1347.1,1354.7,1339.5,7.6,1339.5,TARGET,74.2335,564.17,95.47,468.71,True
2026-01-23,NIFTY,SELL,25249.55,25345.35,25153.75,95.8,25153.75,TARGET,3.9605,379.41,95.51,283.91,True
2026-02-05,ICICIBANK.NS,SELL,1402.3,1412.0,1392.6,9.7,1398.3,TIME,71.3114,285.24,95.52,189.72,True
2026-02-10,RELIANCE.NS,SELL,1463.1,1470.0,1456.2,6.9,1456.2,TARGET,68.348,471.6,95.49,376.11,True
2026-02-12,RELIANCE.NS,SELL,1461.8,1473.0,1450.6,11.2,1450.6,TARGET,68.4088,766.18,95.43,670.75,True
2026-02-17,NIFTY,BUY,25681.4,25570.7,25792.1,110.7,25724.85,TIME,3.8939,169.19,95.63,73.56,True
2026-02-19,ICICIBANK.NS,SELL,1403.0,1410.1,1395.9,7.1,1395.9,TARGET,71.2758,506.06,95.48,410.58,True
2026-02-19,NIFTY,SELL,25750.7,25879.6,25621.8,128.9,25621.8,TARGET,3.8834,500.57,95.48,405.09,True
2026-02-20,NIFTY,BUY,25524.7,25380.35,25669.05,144.35,25571.95,TIME,3.9178,185.11,95.63,89.48,True
2026-02-20,RELIANCE.NS,BUY,1417.5,1407.1,1427.9,10.4,1418.7,TIME,70.5467,84.65,95.6,-10.95,False
2026-02-27,ICICIBANK.NS,SELL,1394.1,1401.4,1386.8,7.3,1386.8,TARGET,71.7309,523.64,95.48,428.16,True
2026-04-10,NIFTY,BUY,24001.25,23867.2,24135.3,134.05,24057.5,TIME,4.1664,234.36,95.65,138.72,True
