range_size_pct,orb_body_ratio,orb_upper_wick_ratio,orb_lower_wick_ratio,gap_pct,orb_volume,volume_ratio,day_of_week,signal_encoded,ticker_encoded,date,ticker,signal,label
1.0185,0.8122,0.117,0.0708,0.0998,1209605.0,0.8777,1,0,0,2024-07-23,RELIANCE.NS,SELL,TARGET
1.2895,0.2006,0.4618,0.3376,-0.0611,0.0,0.0,2,0,4,2024-07-24,ICICIBANK.NS,SELL,TIME
0.8346,0.5762,0.1636,0.2602,-0.2707,0.0,0.0,3,1,3,2024-07-25,HDFCBANK.NS,BUY,TIME
0.7511,0.7069,0.0984,0.1946,-0.9705,0.0,0.0,3,1,0,2024-07-25,RELIANCE.NS,BUY,TARGET
0.8787,0.5726,0.0726,0.3549,-0.3543,0.0,0.0,3,1,2,2024-07-25,TCS.NS,BUY,TIME
1.1759,0.7735,0.0668,0.1597,0.6142,0.0,0.0,4,1,2,2024-07-26,TCS.NS,BUY,TIME
0.7771,0.2659,0.4643,0.2698,-0.3184,0.0,0.0,0,1,3,2024-07-29,HDFCBANK.NS,BUY,STOP
1.1857,0.5987,0.3363,0.065,0.8245,0.0,0.0,0,0,1,2024-07-29,INFY.NS,SELL,TIME
0.4009,0.6667,0.124,0.2093,-0.2274,5811820.0,2.5283,1,1,3,2024-07-30,HDFCBANK.NS,BUY,TARGET
0.8089,0.2234,0.264,0.5127,0.1693,0.0,0.0,1,1,4,2024-07-30,ICICIBANK.NS,BUY,TARGET
0.6073,0.8333,0.1667,0.0,0.17,0.0,0.0,3,1,3,2024-08-01,HDFCBANK.NS,BUY,TIME
0.7794,0.455,0.4868,0.0582,0.2017,1784556.0,1.0395,3,0,4,2024-08-01,ICICIBANK.NS,SELL,TIME
1.8224,0.7277,0.1188,0.1535,-0.1129,0.0,0.0,4,1,3,2024-08-02,HDFCBANK.NS,BUY,TIME
1.7066,0.4055,0.4071,0.1875,-0.1811,0.0,0.0,4,0,1,2024-08-02,INFY.NS,SELL,TIME
1.6904,0.6559,0.251,0.093,-0.4105,568336.0,1.6084,4,0,2,2024-08-02,TCS.NS,SELL,TIME
1.0289,0.3672,0.3373,0.2955,-1.0856,0.0,0.0,0,0,3,2024-08-05,HDFCBANK.NS,SELL,TARGET
1.1531,0.7232,0.2325,0.0443,-1.0021,0.0,0.0,0,0,4,2024-08-05,ICICIBANK.NS,SELL,TIME
1.2619,0.6071,0.3839,0.0089,-1.7763,0.0,0.0,0,0,1,2024-08-05,INFY.NS,SELL,TARGET
1.5074,0.7483,0.0,0.2517,-1.4173,0.0,0.0,0,0,0,2024-08-05,RELIANCE.NS,SELL,TARGET
0.9256,0.8568,0.0,0.1432,-1.3726,0.0,0.0,0,0,2,2024-08-05,TCS.NS,SELL,TARGET
0.7285,0.8898,0.0974,0.0127,0.888,0.0,0.0,1,0,3,2024-08-06,HDFCBANK.NS,SELL,TARGET
1.3529,0.1104,0.7508,0.1388,0.3029,1987169.0,1.1575,1,0,4,2024-08-06,ICICIBANK.NS,SELL,TIME
0.9293,0.281,0.5317,0.1873,2.1501,1327988.0,1.278,2,0,1,2024-08-07,INFY.NS,SELL,TARGET
